kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
錮,574,金,16,S,tie up,コ,
顧,575,頁,21,S,look back,コ,かえり-みる
五,576,二,4,1,five,ゴ,いつ、いつ-つ
互,577,二,4,S,mutually,ゴ,たが-い
午,578,十,4,2,noon,ゴ,
呉,579,口,7,S,give,ゴ,
後,580,彳,9,2,behind,ゴ、コウ,のち、うし-ろ、あと、おく-れる
娯,581,女,10,S,recreation,ゴ,
悟,582,心,10,S,enlightenment,ゴ,さと-る
碁,583,石,13,S,Go,ゴ,
語,584,言,14,2,language,ゴ,かた-る、かた-らう
誤,585,言,14,6,mistake,ゴ,あやま-る
護,586,言,20,5,safeguard,ゴ,
口,587,口,3,1,mouth,コウ、ク,くち
工,588,工,3,2,craft,コウ、ク,
公,589,八,4,2,public,コウ,おおやけ
勾,590,勹,4,S,capture,コウ,
孔,591,子,4,S,cavity,コウ,
功,592,力,5,4,achievement,コウ、（ク）,
巧,593,工,5,S,adroit,コウ,たく-み
広,594,广,5,2,wide,コウ,ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる
甲,595,田,5,S,armor,コウ、カン,
交,596,亠,6,2,mix,コウ,まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす
光,597,儿,6,2,ray,コウ,ひか-る、ひかり
向,598,口,6,3,over there,コウ,む-く、む-ける、む-かう、む-こう
后,599,口,6,6,empress,コウ,
好,600,女,6,4,like,コウ,この-む、す-く
江,601,水,6,S,inlet,コウ,え
考,602,老,6,2,think,コウ,かんが-える
行,603,行,6,2,go,コウ、ギョウ、（アン）,い-く、ゆ-く、おこな-う
坑,604,土,7,S,pit,コウ,
孝,605,子,7,6,filial piety,コウ,
抗,606,手,7,S,confront,コウ,
攻,607,攴,7,S,aggression,コウ,せ-める
更,608,曰,7,S,grow late,コウ,さら、ふ-ける、ふ-かす
効,609,力,8,5,effect,コウ,き-く
幸,610,干,8,3,happiness,コウ,さいわ-い、さち、しあわ-せ
拘,611,手,8,S,arrest,コウ,
肯,612,肉,8,S,agreement,コウ,
侯,613,人,9,S,marquis,コウ,
厚,614,厂,9,5,thick,コウ,あつ-い
恒,615,心,9,S,constancy,コウ,
洪,616,水,9,S,deluge,コウ,
皇,617,白,9,6,emperor,コウ、オウ,
紅,618,糸,9,6,deep red,コウ、（ク）,べに、くれない
荒,619,艸,9,S,laid waste,コウ,あら-い、あ-れる、あ-らす
郊,620,邑,9,S,outskirts,コウ,
香,621,香,9,4,incense,コウ、（キョウ）,か、かお-り、かお-る
候,622,人,10,4,climate,コウ,そうろう
校,623,木,10,1,school,コウ,
耕,624,耒,10,5,till,コウ,たがや-す
航,625,舟,10,5,cruise,コウ,
貢,626,貝,10,S,tribute,コウ、（ク）,みつ-ぐ
降,627,阜,10,6,descend,コウ,お-りる、お-ろす、ふ-る
高,628,高,10,2,"tall, expensive",コウ,たか-い、たか、たか-まる、たか-める
康,629,广,11,4,health,コウ,
控,630,手,11,S,withdraw,コウ,ひか-える
梗,631,木,11,S,close up,コウ,
黄,632,黃,11,2,yellow,コウ、オウ,き、（こ）
喉,633,口,12,S,throat,コウ,のど
慌,634,心,12,S,disconcerted,コウ,あわ-てる、あわ-ただしい
港,635,水,12,3,harbor,コウ,みなと
硬,636,石,12,S,stiff,コウ,かた-い
絞,637,糸,12,S,strangle,コウ,しぼ-る、し-める、し-まる
項,638,頁,12,S,paragraph,コウ,
溝,639,水,13,S,gutter,コウ,みぞ
鉱,640,金,13,5,mineral,コウ,
構,641,木,14,5,construct,コウ,かま-える、かま-う
綱,642,糸,14,S,hawser,コウ,つな
酵,643,酉,14,S,fermentation,コウ,
稿,644,禾,15,S,draft,コウ,
興,645,臼,16,5,entertain,コウ、キョウ,おこ-る、おこ-す
衡,646,行,16,S,equilibrium,コウ,
鋼,647,金,16,6,steel,コウ,はがね
講,648,言,17,5,lecture,コウ,
購,649,貝,17,S,subscription,コウ,
乞,650,乙,3,S,beg,,こ-う
号,651,虍,5,3,number,ゴウ,
合,652,口,6,2,fit,ゴウ、ガッ、（カッ）,あ-う、あ-わす、あ-わせる
拷,653,手,9,S,torture,ゴウ,
剛,654,刀,10,S,sturdy,ゴウ,
傲,655,人,13,S,be proud,ゴウ,
豪,656,豕,14,S,overpowering,ゴウ,
克,657,儿,7,S,overcome,コク,
告,658,口,7,5,tell,コク,つ-げる
谷,659,谷,7,2,valley,コク,たに
刻,660,刀,8,6,engrave,コク,きざ-む
国,661,囗,8,2,country,コク,くに
黒,662,黑,11,2,black,コク,くろ、くろ-い
穀,663,禾,14,6,cereals,コク,
酷,664,酉,14,S,cruel,コク,
獄,665,犬,14,S,prison,ゴク,
骨,666,骨,10,6,bone,コツ,ほね
駒,667,馬,15,S,horse,,こま
込,668,辵,5,S,crowded,,こ-む、こ-める
頃,669,頁,11,S,times,,ころ
今,670,人,4,2,now,コン、キン,いま
困,671,囗,7,6,become distressed,コン,こま-る
昆,672,日,8,S,descendants,コン,
恨,673,心,9,S,rancor,コン,うら-む、うら-めしい
根,674,木,10,3,root,コン,ね
婚,675,女,11,S,marriage,コン,
混,676,水,11,5,mix,コン,ま-じる、ま-ざる、ま-ぜる、こ-む
痕,677,疒,11,S,mark,コン,あと
紺,678,糸,11,S,dark blue,コン,
魂,679,鬼,14,S,soul,コン,たましい
墾,680,土,16,S,ground-breaking,コン,
懇,681,心,17,S,sociable,コン,ねんご-ろ
左,682,工,5,1,left (direction),サ,ひだり
佐,683,人,7,4,help,サ,
沙,684,水,7,S,sand,サ,
査,685,木,9,5,investigate,サ,
砂,686,石,9,6,sand,サ、シャ,すな
唆,687,口,10,S,tempt,サ,そそのか-す
差,688,工,10,4,distinction,サ,さ-す
詐,689,言,12,S,lie,サ,
鎖,690,金,18,S,chain,サ,くさり
座,691,广,10,6,sit,ザ,すわ-る
挫,692,手,10,S,sprain,ザ,
才,693,手,3,2,genius,サイ,
再,694,冂,6,5,again,サイ、（サ）,ふたた-び
災,695,火,7,5,disaster,サイ,わざわ-い
妻,696,女,8,5,wife,サイ,つま
采,697,釆,8,S,form,サイ,
砕,698,石,9,S,smash,サイ,くだ-く、くだ-ける
宰,699,宀,10,S,superintend,サイ,
栽,700,木,10,S,plantation,サイ,
彩,701,彡,11,S,coloring,サイ,いろど-る
採,702,手,11,5,pick,サイ,と-る
済,703,水,11,6,settle,サイ,す-む、す-ます
祭,704,示,11,3,festival,サイ,まつ-る、まつ-り
斎,705,齊,11,S,purification,サイ,
細,706,糸,11,2,thin,サイ,ほそ-い、ほそ-る、こま-か、こま-かい
菜,707,艸,11,4,vegetable,サイ,な
最,708,曰,12,4,most,サイ,もっと-も
裁,709,衣,12,6,judge,サイ,た-つ、さば-く
債,710,人,13,S,bond,サイ,
催,711,人,13,S,sponsor,サイ,もよお-す
塞,712,土,13,S,obstruct,サイ、ソク,ふさ-ぐ、ふさ-がる
歳,713,止,13,S,year-end,サイ、（セイ）,
載,714,車,13,S,ride,サイ,の-せる、の-る
際,715,阜,14,5,occasion,サイ,きわ
埼,716,土,11,4,cape (geography),,（さい）[6]
在,717,土,6,5,exist,ザイ,あ-る
材,718,木,7,4,lumber,ザイ,
剤,719,刀,10,S,dose,ザイ,
財,720,貝,10,5,wealth,ザイ、（サイ）,
罪,721,网,13,5,guilt,ザイ,つみ
崎,722,山,11,4,promontory,,さき
作,723,人,7,2,make,サク、サ,つく-る
削,724,刀,9,S,plane,サク,けず-る
昨,725,日,9,4,previous,サク,
柵,726,木,9,S,fence,サク,
索,727,糸,10,S,cord,サク,
策,728,竹,12,6,scheme,サク,
酢,729,酉,12,S,vinegar,サク,す
搾,730,手,13,S,squeeze,サク,しぼ-る
錯,731,金,16,S,confused,サク,
咲,732,口,9,S,blossom,,さ-く
冊,733,冂,5,6,counter for books,サツ、サク,
札,734,木,5,4,tag,サツ,ふだ
刷,735,刀,8,4,printing,サツ,す-る
刹,736,刀,8,S,temple,サツ、セツ,
拶,737,手,9,S,be imminent,サツ,
殺,738,殳,10,5,kill,サツ、（サイ）、（セツ）,ころ-す
察,739,宀,14,4,guess,サツ,
撮,740,手,15,S,snapshot,サツ,と-る
擦,741,手,17,S,grate,サツ,す-る、す-れる
雑,742,隹,14,5,miscellaneous,ザツ、ゾウ,
皿,743,皿,5,3,dish,,さら
三,744,一,3,1,three,サン,み、み-つ、みっ-つ
山,745,山,3,1,mountain,サン,やま
参,746,厶,8,4,participate,サン,まい-る
桟,747,木,10,S,scaffold,サン,
蚕,748,虫,10,6,silkworm,サン,かいこ
惨,749,心,11,S,wretched,サン、ザン,みじ-め
産,750,生,11,4,give birth,サン,う-む、う-まれる、うぶ
傘,751,人,12,S,umbrella,サン,かさ
散,752,攴,12,4,scatter,サン,ち-る、ち-らす、ち-らかす、ち-らかる
算,753,竹,14,2,calculate,サン,
酸,754,酉,14,5,acid,サン,す-い
賛,755,貝,15,5,approve,サン,
残,756,歹,10,4,remainder,ザン,のこ-る、のこ-す
斬,757,斤,11,S,kill by slicing,ザン,き-る
暫,758,日,15,S,temporarily,ザン,
士,759,士,3,5,gentleman,シ,
子,760,子,3,1,child,シ、ス,こ
支,761,支,4,5,branch,シ,ささ-える
止,762,止,4,2,stop,シ,と-まる、と-める
氏,763,氏,4,4,family name,シ,うじ
仕,764,人,5,3,do,シ、（ジ）,つか-える
史,765,口,5,5,history,シ,
司,766,口,5,4,director,シ,
四,767,囗,5,1,four,シ,よ、よ-つ、よっ-つ、よん
市,768,巾,5,2,market,シ,いち
矢,769,矢,5,2,arrow,シ,や
旨,770,日,6,S,delicious,シ,むね
死,771,歹,6,3,death,シ,し-ぬ
糸,772,糸,6,1,thread,シ,いと
至,773,至,6,6,climax,シ,いた-る
伺,774,人,7,S,pay respects,シ,うかが-う
志,775,心,7,5,intention,シ,こころざ-す、こころざし
私,776,禾,7,6,me,シ,わたくし、わたし
使,777,人,8,3,use,シ,つか-う
刺,778,刀,8,S,thorn,シ,さ-す、さ-さる
始,779,女,8,3,begin,シ,はじ-める、はじ-まる
姉,780,女,8,2,older sister,シ,あね
枝,781,木,8,5,branch,シ,えだ
祉,782,示,8,S,welfare,シ,
肢,783,肉,8,S,limb,シ,
姿,784,女,9,6,figure,シ,すがた
思,785,心,9,2,think,シ,おも-う
指,786,手,9,3,finger,シ,ゆび、さ-す
施,787,方,9,S,carry out,シ、セ,ほどこ-す
師,788,巾,10,5,expert,シ,
恣,789,心,10,S,selfish,シ,
紙,790,糸,10,2,paper,シ,かみ
脂,791,肉,10,S,fat,シ,あぶら
視,792,見,11,6,look at,シ,
紫,793,糸,12,S,purple,シ,むらさき
詞,794,言,12,6,poetry,シ,
歯,795,齒,12,3,tooth,シ,は
嗣,796,口,13,S,heir,シ,
試,797,言,13,4,test,シ,こころ-みる、ため-す
詩,798,言,13,3,poem,シ,
資,799,貝,13,5,resources,シ,
飼,800,食,13,5,domesticate,シ,か-う
誌,801,言,14,6,document,シ,
雌,802,隹,14,S,feminine,シ,め、めす
摯,803,手,15,S,seriousness,シ,
賜,804,貝,15,S,grant,シ,たまわ-る
諮,805,言,16,S,consult with,シ,はか-る
示,806,示,5,5,indicate,ジ、シ,しめ-す
字,807,子,6,1,letter,ジ,あざ
寺,808,寸,6,2,Buddhist temple,ジ,てら
次,809,欠,6,3,next,ジ、シ,つ-ぐ、つぎ
耳,810,耳,6,1,ear,ジ,みみ
自,811,自,6,2,oneself,ジ、シ,みずか-ら
似,812,人,7,5,becoming,ジ,に-る
児,813,儿,7,4,child,ジ、（ニ）,
事,814,亅,8,3,abstract thing,ジ、（ズ）,こと
侍,815,人,8,S,waiter,ジ,さむらい
治,816,水,8,4,govern,ジ、チ,おさ-める、おさ-まる、なお-る、なお-す
持,817,手,9,3,hold,ジ,も-つ
時,818,日,10,2,time,ジ,とき
滋,819,水,12,4,nourishing,ジ,
慈,820,心,13,S,mercy,ジ,いつく-しむ
辞,821,辛,13,4,resign,ジ,や-める
磁,822,石,14,6,magnet,ジ,
餌,823,食,15,S,bait,ジ,えさ、え
璽,824,玉,19,S,emperor's seal,ジ,
鹿,825,鹿,11,4,deer,,しか、（か）
式,826,弋,6,3,style,シキ,
識,827,言,19,5,discriminating,シキ,
軸,828,車,12,S,axis,ジク,
七,829,一,2,1,seven,シチ,なな、なな-つ、（なの）
𠮟,830,口,5,S,scold,シツ,しか-る
失,831,大,5,4,lose,シツ,うしな-う
室,832,宀,9,2,room,シツ,むろ
疾,833,疒,10,S,rapidly,シツ,
執,834,土,11,S,tenacious,シツ、シュウ,と-る
湿,835,水,12,S,damp,シツ,しめ-る、しめ-す
嫉,836,女,13,S,envy,シツ,
漆,837,水,14,S,lacquer,シツ,うるし
質,838,貝,15,5,quality,シツ、シチ、（チ）,
実,839,宀,8,3,truth,ジツ,み、みの-る
芝,840,艸,6,S,turf,,しば
写,841,宀,5,3,copy,シャ,うつ-す、うつ-る
社,842,示,7,2,company,シャ,やしろ
車,843,車,7,1,car,シャ,くるま
舎,844,舌,8,5,cottage,シャ,
者,845,老,8,3,someone,シャ,もの
射,846,寸,10,6,shoot,シャ,い-る
捨,847,手,11,6,throw away,シャ,す-てる
赦,848,赤,11,S,pardon,シャ,
斜,849,斗,11,S,diagonal,シャ,なな-め
煮,850,火,12,S,boil,シャ,に-る、に-える、に-やす
遮,851,辵,14,S,intercept,シャ,さえぎ-る
謝,852,言,17,5,apologize,シャ,あやま-る
邪,853,邑,8,S,wicked,ジャ,
蛇,854,虫,11,S,snake,ジャ、ダ,へび
尺,855,尸,4,6,shaku,シャク,
借,856,人,10,4,borrow,シャク,か-りる
酌,857,酉,10,S,bartending,シャク,く-む
釈,858,釆,11,S,explanation,シャク,
爵,859,爪,17,S,baron,シャク,
若,860,艸,8,6,young,ジャク、（ニャク）,わか-い、も-しくは
弱,861,弓,10,2,weak,ジャク,よわ-い、よわ-る、よわ-まる、よわ-める
寂,862,宀,11,S,loneliness,ジャク、（セキ）,さび、さび-しい、さび-れる
手,863,手,4,1,hand,シュ,て、（た）
主,864,丶,5,3,master,シュ、（ス）,ぬし、おも
守,865,宀,6,3,protect,シュ、（ス）,まも-る、も-り
朱,866,木,6,S,vermilion,シュ,
取,867,又,8,3,take,シュ,と-る
狩,868,犬,9,S,hunt,シュ,か-る、か-り
首,869,首,9,2,neck,シュ,くび
殊,870,歹,10,S,particularly,シュ,こと
珠,871,玉,10,S,pearl,シュ,
酒,872,酉,10,3,alcoholic drink,シュ,さけ、（さか）
腫,873,肉,13,S,tumor,シュ,は-れる、は-らす
種,874,禾,14,4,kind,シュ,たね
趣,875,走,15,S,gist,シュ,おもむき
寿,876,士,7,S,longevity,ジュ,ことぶき
受,877,又,8,3,accept,ジュ,う-ける、う-かる
呪,878,口,8,S,curse,ジュ,のろ-う
授,879,手,11,5,instruct,ジュ,さず-ける、さず-かる
需,880,雨,14,S,demand,ジュ,
儒,881,人,16,S,Confucian,ジュ,
樹,882,木,16,6,trees,ジュ,
収,883,攴,4,6,take in,シュウ,おさ-める、おさ-まる
囚,884,囗,5,S,captured,シュウ,
州,885,巛,6,3,state,シュウ,す
舟,886,舟,6,S,boat,シュウ,ふね、（ふな）
秀,887,禾,7,S,excel,シュウ,ひい-でる
周,888,口,8,4,circumference,シュウ,まわ-り
宗,889,宀,8,6,religion,シュウ、ソウ,
拾,890,手,9,3,pick up,シュウ、ジュウ,ひろ-う
秋,891,禾,9,2,autumn,シュウ,あき
臭,892,自,9,S,stinking,シュウ,くさ-い、にお-う
修,893,人,10,5,discipline,シュウ、（シュ）,おさ-める、おさ-まる
袖,894,衣,10,S,sleeve,シュウ,そで
終,895,糸,11,3,end,シュウ,お-わる、お-える
羞,896,羊,11,S,feel ashamed,シュウ,
習,897,羽,11,3,learn,シュウ,なら-う
週,898,辵,11,2,week,シュウ,
就,899,尢,12,6,concerning,シュウ、（ジュ）,つ-く、つ-ける
衆,900,血,12,6,masses,シュウ、（シュ）,
集,901,隹,12,3,collect,シュウ,あつ-まる、あつ-める、つど-う
愁,902,心,13,S,distress,シュウ,うれ-える、うれ-い
酬,903,酉,13,S,repay,シュウ,
醜,904,酉,17,S,ugly,シュウ,みにく-い
蹴,905,足,19,S,kick,シュウ,け-る
襲,906,衣,22,S,attack,シュウ,おそ-う
十,907,十,2,1,ten,ジュウ、ジッ,とお、と
汁,908,水,5,S,soup,ジュウ,しる
充,909,儿,6,S,allot,ジュウ,あ-てる
住,910,人,7,3,dwelling,ジュウ,す-む、す-まう
柔,911,木,9,S,tender,ジュウ、ニュウ,やわ-らか、やわ-らかい
重,912,里,9,3,heavy,ジュウ、チョウ,え、おも-い、かさ-ねる、かさ-なる
従,913,彳,10,6,obey,ジュウ、（ショウ）、（ジュ）,したが-う、したが-える
渋,914,水,11,S,astringent,ジュウ,しぶ、しぶ-い、しぶ-る
銃,915,金,14,S,gun,ジュウ,
獣,916,犬,16,S,animal,ジュウ,けもの
縦,917,糸,16,6,vertical,ジュウ,たて
叔,918,又,8,S,uncle,シュク,
祝,919,示,9,4,celebrate,シュク、（シュウ）,いわ-う
宿,920,宀,11,3,inn,シュク,やど、やど-る、やど-す
淑,921,水,11,S,graceful,シュク,
粛,922,聿,11,S,solemn,シュク,
縮,923,糸,17,6,shrink,シュク,ちぢ-む、ちぢ-まる、ちぢ-める、ちぢ-れる、ちぢ-らす
塾,924,土,14,S,cram school,ジュク,
熟,925,火,15,6,ripen,ジュク,う-れる
出,926,凵,5,1,exit,シュツ、（スイ）,で-る、だ-す
述,927,辵,8,5,mention,ジュツ,の-べる
術,928,行,11,5,art,ジュツ,
俊,929,人,9,S,genius,シュン,
春,930,日,9,2,springtime,シュン,はる
瞬,931,目,18,S,wink,シュン,またた-く
旬,932,日,6,S,10-day period (of the month),ジュン、（シュン）,
巡,933,巛,6,S,patrol,ジュン,めぐ-る
盾,934,目,9,S,shield,ジュン,たて
准,935,冫,10,S,quasi-,ジュン,
殉,936,歹,10,S,martyrdom,ジュン,
純,937,糸,10,6,genuine,ジュン,
循,938,彳,12,S,sequential,ジュン,
順,939,頁,12,4,obey,ジュン,
準,940,水,13,5,standard,ジュン,
潤,941,水,15,S,wet,ジュン,うるお-う、うるお-す、うる-む
遵,942,辵,15,S,abide by,ジュン,
処,943,虍,5,6,dispose,ショ,
初,944,刀,7,4,first,ショ,はじ-め、はじ-めて、はつ、うい、そ-める
所,945,戶,8,3,place,ショ,ところ
書,946,曰,10,2,write,ショ,か-く
庶,947,广,11,S,commoner,ショ,
暑,948,日,12,3,hot,ショ,あつ-い
署,949,网,13,6,government office,ショ,
緒,950,糸,14,S,thong,ショ、（チョ）,お
諸,951,言,15,6,various,ショ,
女,952,女,3,1,woman,ジョ、ニョ、（ニョウ）,おんな、め
如,953,女,6,S,likeness,ジョ、ニョ,
助,954,力,7,3,help,ジョ,たす-ける、たす-かる、すけ
序,955,广,7,5,preface,ジョ,
叙,956,攴,9,S,confer,ジョ,
徐,957,彳,10,S,gradually,ジョ,
除,958,阜,10,6,exclude,ジョ、（ジ）,のぞ-く
小,959,小,3,1,small,ショウ,ちい-さい、こ、お
升,960,十,4,S,measuring box,ショウ,ます
少,961,小,4,2,few,ショウ,すく-ない、すこ-し
召,962,口,5,S,summon,ショウ,め-す
匠,963,匚,6,S,artisan,ショウ,
床,964,广,7,S,bed,ショウ,とこ、ゆか
抄,965,手,7,S,extract,ショウ,
肖,966,肉,7,S,resemblance,ショウ,
尚,967,小,8,S,esteem,ショウ,
招,968,手,8,5,beckon,ショウ,まね-く
承,969,手,8,6,acquiesce,ショウ,うけたまわ-る
昇,970,日,8,S,rise up,ショウ,のぼ-る
松,971,木,8,4,pine,ショウ,まつ
沼,972,水,8,S,marsh,ショウ,ぬま
昭,973,日,9,3,shining,ショウ,
宵,974,宀,10,S,wee hours,ショウ,よい
将,975,寸,10,6,leader,ショウ,
消,976,水,10,3,extinguish,ショウ,き-える、け-す
症,977,疒,10,S,symptoms,ショウ,
祥,978,示,10,S,auspicious,ショウ,
称,979,禾,10,S,appellation,ショウ,
笑,980,竹,10,4,laugh,ショウ,わら-う、え-む
唱,981,口,11,4,chant,ショウ,とな-える
商,982,口,11,3,sell,ショウ,あきな-う
渉,983,水,11,S,ford,ショウ,
章,984,立,11,3,chapter,ショウ,
紹,985,糸,11,S,introduce,ショウ,
訟,986,言,11,S,sue,ショウ,
勝,987,力,12,3,win,ショウ,か-つ、まさ-る
掌,988,手,12,S,manipulate,ショウ,
晶,989,日,12,S,sparkle,ショウ,
焼,990,火,12,4,bake,ショウ,や-く、や-ける
焦,991,火,12,S,char,ショウ,こ-げる、こ-がす、こ-がれる、あせ-る
硝,992,石,12,S,nitrate,ショウ,
粧,993,米,12,S,cosmetics,ショウ,
詔,994,言,12,S,imperial edict,ショウ,みことのり
証,995,言,12,5,evidence,ショウ,
象,996,豕,12,5,elephant,ショウ、ゾウ,
傷,997,人,13,6,wound,ショウ,きず、いた-む、いた-める
奨,998,大,13,S,exhort,ショウ,
照,999,火,13,4,illuminate,ショウ,て-る、て-らす、て-れる
詳,1000,言,13,S,detailed,ショウ,くわ-しい
彰,1001,彡,14,S,patent,ショウ,
障,1002,阜,14,6,hurt,ショウ,さわ-る
憧,1003,心,15,S,desire,ショウ,あこが-れる
衝,1004,行,15,S,collide,ショウ,
賞,1005,貝,15,5,prize,ショウ,
償,1006,人,17,S,reparation,ショウ,つぐな-う
礁,1007,石,17,S,reef,ショウ,
鐘,1008,金,20,S,bell,ショウ,かね
上,1009,一,3,1,up,ジョウ、（ショウ）,うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す
丈,1010,一,3,S,length,ジョウ,たけ
冗,1011,冖,4,S,superfluous,ジョウ,
条,1012,木,7,5,clause,ジョウ,
状,1013,犬,7,5,form,ジョウ,
乗,1014,丿,9,3,ride,ジョウ,の-る、の-せる
城,1015,土,9,4,castle,ジョウ,しろ
浄,1016,水,9,S,clean,ジョウ,
剰,1017,刀,11,S,surplus,ジョウ,
常,1018,巾,11,5,normal,ジョウ,つね、とこ
情,1019,心,11,5,feelings,ジョウ、（セイ）,なさ-け
場,1020,土,12,2,place,ジョウ,ば
畳,1021,田,12,S,tatami mat,ジョウ,たた-む、たたみ
蒸,1022,艸,13,6,steam,ジョウ,む-す、む-れる、む-らす
縄,1023,糸,15,4,straw rope,ジョウ,なわ
壌,1024,土,16,S,lot,ジョウ,
嬢,1025,女,16,S,lass,ジョウ,
錠,1026,金,16,S,lock,ジョウ,
譲,1027,言,20,S,defer,ジョウ,ゆず-る
醸,1028,酉,20,S,brew,ジョウ,かも-す
色,1029,色,6,2,color,ショク、シキ,いろ
拭,1030,手,9,S,wipe,ショク,ふ-く、ぬぐ-う
食,1031,食,9,2,"eat, meal",ショク、（ジキ）,く-う、く-らう、た-べる
植,1032,木,12,3,plant,ショク,う-える、う-わる
殖,1033,歹,12,S,augment,ショク,ふ-える、ふ-やす
飾,1034,食,13,S,decorate,ショク,かざ-る
触,1035,角,13,S,contact,ショク,ふ-れる、さわ-る
嘱,1036,口,15,S,entrust,ショク,
織,1037,糸,18,5,weave,ショク、シキ,お-る
職,1038,耳,18,5,employment,ショク,
辱,1039,辰,10,S,embarrass,ジョク,はずかし-める
尻,1040,尸,5,S,buttocks,,しり
心,1041,心,4,2,heart,シン,こころ
申,1042,田,5,3,say,シン,もう-す
伸,1043,人,7,S,lengthen,シン,の-びる、の-ばす、の-べる
臣,1044,臣,7,4,retainer,シン、ジン,
芯,1045,艸,7,S,core,シン,
身,1046,身,7,3,body,シン,み
辛,1047,辛,7,S,spicy,シン,から-い
侵,1048,人,9,S,encroach,シン,おか-す
信,1049,人,9,4,trust,シン,
津,1050,水,9,S,haven,シン,つ
神,1051,示,9,3,god,シン、ジン,かみ、（かん）、（こう）
唇,1052,口,10,S,lips,シン,くちびる
娠,1053,女,10,S,with child,シン,
振,1054,手,10,S,shake,シン,ふ-る、ふ-るう、ふ-れる
浸,1055,水,10,S,immersed,シン,ひた-す、ひた-る
真,1056,目,10,3,true,シン,ま
針,1057,金,10,6,needle,シン,はり
深,1058,水,11,3,deep,シン,ふか-い、ふか-まる、ふか-める
紳,1059,糸,11,S,sire,シン,
進,1060,辵,11,3,advance,シン,すす-む、すす-める
森,1061,木,12,1,forest,シン,もり
診,1062,言,12,S,checkup,シン,み-る
寝,1063,宀,13,S,lie down,シン,ね-る、ね-かす
慎,1064,心,13,S,humility,シン,つつし-む
新,1065,斤,13,2,new,シン,あたら-しい、あら-た、にい
審,1066,宀,15,S,examine,シン,
震,1067,雨,15,S,quake,シン,ふる-う、ふる-える
薪,1068,艸,16,S,fuel,シン,たきぎ
親,1069,見,16,2,parent,シン,おや、した-しい、した-しむ
人,1070,人,2,1,person,ジン、ニン,ひと
刃,1071,刀,3,S,blade,ジン,は
仁,1072,人,4,6,humanity,ジン、（ニ）,
尽,1073,皿,6,S,exhaust,ジン,つ-くす、つ-きる、つ-かす
迅,1074,辵,6,S,swift,ジン,
甚,1075,甘,9,S,tremendously,ジン,はなは-だ、はなは-だしい
陣,1076,阜,10,S,camp,ジン,
尋,1077,寸,12,S,inquire,ジン,たず-ねる
腎,1078,肉,13,S,kidney,ジン,
須,1079,頁,12,S,by all means,ス,
図,1080,囗,7,2,diagram,ズ、ト,はか-る
水,1081,水,4,1,water,スイ,みず
吹,1082,口,7,S,blow,スイ,ふ-く
垂,1083,土,8,6,droop,スイ,た-れる、た-らす
炊,1084,火,8,S,cook,スイ,た-く
帥,1085,巾,9,S,commander,スイ,
粋,1086,米,10,S,chic,スイ,いき
衰,1087,衣,10,S,decline,スイ,おとろ-える
推,1088,手,11,6,infer,スイ,お-す
酔,1089,酉,11,S,drunk,スイ,よ-う
遂,1090,辵,12,S,consummate,スイ,と-げる
睡,1091,目,13,S,drowsy,スイ,
穂,1092,禾,15,S,ear,スイ,ほ
随,1093,阜,12,S,follow,ズイ,
髄,1094,骨,19,S,marrow,ズイ,
枢,1095,木,8,S,hinge,スウ,
崇,1096,山,11,S,adore,スウ,
数,1097,攴,13,2,number,スウ、（ス）,かず、かぞ-える
据,1098,手,11,S,set,,す-える、す-わる
杉,1099,木,7,S,cedar,,すぎ
裾,1100,衣,13,S,cuff,,すそ
寸,1101,寸,3,6,measurement,スン,
瀬,1102,水,19,S,rapids,,せ
是,1103,日,9,S,just so,ゼ,
井,1104,二,4,4,well,セイ、（ショウ）,い
世,1105,一,5,3,world,セイ、セ,よ
正,1106,止,5,1,correct,セイ、ショウ,ただ-しい、ただ-す、まさ
生,1107,生,5,1,life,セイ、ショウ,い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま
成,1108,戈,6,4,become,セイ、（ジョウ）,な-る、な-す
西,1109,襾,6,2,west,セイ、サイ,にし
声,1110,耳,7,2,voice,セイ、（ショウ）,こえ、（こわ）
制,1111,刀,8,5,control,セイ,
姓,1112,女,8,S,surname,セイ、ショウ,
征,1113,彳,8,S,subjugate,セイ,
性,1114,心,8,5,gender,セイ、ショウ,
青,1115,靑,8,1,blue,セイ、（ショウ）,あお、あお-い
斉,1116,齊,8,S,adjusted,セイ,
政,1117,攴,9,5,politics,セイ、（ショウ）,まつりごと
星,1118,日,9,2,star,セイ、（ショウ）,ほし
牲,1119,牛,9,S,animal sacrifice,セイ,
省,1120,目,9,4,government ministry,セイ、ショウ,かえり-みる、はぶ-く
凄,1121,冫,10,S,uncanny,セイ,
逝,1122,辵,10,S,departed,セイ,ゆ-く、い-く
清,1123,水,11,4,pure,セイ、（ショウ）,きよ-い、きよ-まる、きよ-める
盛,1124,皿,11,6,prosper,セイ、（ジョウ）,も-る、さか-る、さか-ん
婿,1125,女,12,S,bridegroom,セイ,むこ
